,Subcomarca,Municipio,Superficie (Km²),Población,Densidad
0,,Total comarca,1252.89,31930,25.49
1,Valle Alto del Lozoya,Alameda del Valle,25.01,246,9.84
2,Valle Bajo del Lozoya,Berzosa del Lozoya,14.32,216,15.08
3,Valle Medio del Lozoya,Braojos de la Sierra,24.93,218,8.74
4,Valle Medio del Lozoya,Buitrago del Lozoya,26.5,1940,73.21
5,Sierra de La Cabrera,Bustarviejo,57.32,2701,47.12
6,Sierra de La Cabrera,Cabanillas de la Sierra,14.07,837,59.49
7,Valle Alto del Lozoya,Canencia,52.7,461,8.75
8,Valle Bajo del Lozoya,Cervera de Buitrago,12.02,158,13.14
9,Valle Bajo del Lozoya,El Atazar,29.55,109,3.69
10,Valle Bajo del Lozoya,El Berrueco,28.8,796,27.64
11,Valle del Jarama,El Vellón,34.14,2083,61.01
12,Valle Alto del Lozoya,Garganta de los Montes,39.66,411,10.36
13,Valle Alto del Lozoya,Gargantilla del Lozoya y Pinilla de Buitrago,24.12,344,14.26
14,Valle Medio del Lozoya,Gascones,20.04,191,9.53
15,Valle Medio del Lozoya,Horcajo de la Sierra-Aoslos,20.57,170,8.26
16,Sierra del Rincón,Horcajuelo de la Sierra,24.39,106,4.35
17,Valle Medio del Lozoya,La Acebeda,22.06,55,2.49
18,Sierra de La Cabrera,La Cabrera,22.4,2782,124.2
19,Sierra del Rincón,La Hiruela,17.18,72,4.19
20,Valle Medio del Lozoya,La Serna del Monte,5.44,96,17.65
21,Valle Alto del Lozoya,Lozoya,57.94,593,10.23
22,Sierra de La Cabrera,Lozoyuela-Navas-Sieteiglesias,51.28,1407,27.44
23,Valle Medio del Lozoya,Madarcos,8.46,57,6.74
24,Sierra del Rincón,Montejo de la Sierra,31.95,365,11.42
25,Sierra de La Cabrera,Navalafuente,11.75,1573,133.87
26,Valle Alto del Lozoya,Navarredonda y San Mamés,27.44,141,5.14
27,Valle del Jarama,Patones,34.47,524,15.2
28,Valle Alto del Lozoya,Pinilla del Valle,25.84,196,7.59
29,Valle Medio del Lozoya,Piñuécar-Gandullas,18.19,185,10.17
30,Sierra del Rincón,Prádena del Rincón,22.48,149,6.63
31,Sierra del Rincón,Puebla de la Sierra,57.7,75,1.3
32,Valle Bajo del Lozoya,Puentes Viejas,58.33,719,12.33
33,Valle Alto del Lozoya,Rascafría,150.28,1754,11.67
34,Valle del Jarama,Redueña,12.87,294,22.84
35,Valle Bajo del Lozoya,Robledillo de la Jara,20.35,97,4.77
36,Valle Medio del Lozoya,Robregordo,18.03,71,3.94
37,Valle Medio del Lozoya,Somosierra,20.42,87,4.26
38,Valle del Jarama,Torrelaguna,43.4,4897,112.83
39,Valle del Jarama,Torremocha de Jarama,18.49,1079,58.36
40,Sierra de La Cabrera,Valdemanco,17.58,1012,57.57
41,Sierra de La Cabrera,Venturada,9.79,2387,243.82
42,Valle Medio del Lozoya,Villavieja del Lozoya,23.3,276,11.85
